Rank,Country,Human_development_index,Life_expectancy_at_birth,Expected_years_of_schooling,Mean_year_of_schooling,Gross_national_income,Gross_National_income_minus_HDI,HDI_rank,AverageHDI_1990_2019,Inequality_adjusted_life_expectancy_index,Inequality_in_education,Inequality_adjusted_education_index,Inequality_in_income,Inequality_adjusted_income_index,Gender_Development_Index,Estimated_gross_national_income_per_capita,Maternal_mortality_ratio_2017,Adolescent_birth_rate_2015_2020,Share_of_seats_in_parliament,Labour_force_partici_rate ,Total_population_M, POP_Urban,Under_5,Ages_15_64,Ages_65_and_older,Median_age_2020,Label,,
1,Norway,0.957,82.4,18.1,12.9,66494,7,1,0.41,0.931,2.3,0.908,12.6,0.858,0.990,58548,2,5.1,40.8,60.4,5.4,82.6,0.3,3.5,0.9,39.8,1,,
2,Ireland,0.955,82.3,18.7,12.7,68371,4,3,0.73,0.926,3.3,0.892,15.0,0.838,0.981,55540,5,7.5,24.3,56.0,4.9,63.4,0.3,3.2,0.7,38.2,1,,
2,Switzerland,0.955,83.8,16.3,13.4,69394,3,2,0.44,0.947,1.8,0.883,14.9,0.841,0.968,57840,5,2.8,38.6,62.9,8.6,73.8,0.4,5.7,1.6,43.1,1,,
4,"Hong Kong, China (SAR)",0.949,84.9,16.9,12.3,62985,7,4,0.66,0.973,9.8,0.793,25.6,0.724,0.972,45961,..,2.7,..,54.0,7.4,100.0,0.3,5.2,1.3,44.8,1,,
4,Iceland,0.949,83.0,19.1,12.8,54682,14,4,0.56,0.946,2.8,0.900,11.7,0.841,0.969,46413,4,6.3,38.1,70.8,0.3,93.9,0.0,0.2,0.1,37.5,1,,
6,Germany,0.947,81.3,17.0,14.2,55314,11,4,0.55,0.908,2.3,0.922,17.7,0.786,0.972,45277,7,8.1,31.6,55.3,83.5,77.4,4.0,54.0,18.0,45.7,1,,
7,Sweden,0.945,82.8,19.5,12.5,54508,12,7,0.49,0.938,3.7,0.884,13.0,0.828,0.983,47709,4,5.1,47.3,61.4,10.0,87.7,0.6,6.2,2.0,41.1,1,,
8,Australia,0.944,83.4,22.0,12.7,48085,15,7,0.28,0.940,2.7,0.899,17.3,0.771,0.976,39287,6,11.7,36.6,60.3,25.2,86.1,1.7,16.3,4.0,37.9,1,,
8,Netherlands,0.944,82.3,18.5,12.4,57707,6,9,0.42,0.928,5.4,0.865,12.2,0.843,0.966,46815,5,3.8,33.8,58.3,17.1,91.9,0.9,11.0,3.4,43.3,1,,
10,Denmark,0.940,80.9,18.9,12.6,58662,2,10,0.53,0.903,2.9,0.894,11.4,0.853,0.983,49296,4,4.1,39.1,58.2,5.8,88.0,0.3,3.7,1.2,42.3,1,,
11,Finland,0.938,81.9,19.4,12.8,48511,11,11,0.59,0.924,2.2,0.907,10.6,0.835,0.990,40759,3,5.8,47.0,55.5,5.5,85.4,0.3,3.4,1.2,43.1,1,,
11,Singapore,0.938,83.6,16.4,11.6,88155,-8,12,0.91,0.954,11.0,0.751,25.0,0.750,0.985,71387,8,3.5,23.0,62.0,5.8,100.0,0.2,4.4,0.7,42.2,1,,
13,United Kingdom,0.932,81.3,17.5,13.2,46071,13,14,0.61,0.905,2.7,0.902,17.0,0.769,0.970,33323,7,13.4,28.9,57.6,67.5,83.7,4.0,43.1,12.5,40.5,1,,
14,Belgium,0.931,81.6,19.8,12.1,52085,6,13,0.47,0.914,8.2,0.828,11.4,0.837,0.974,41948,5,4.7,43.3,48.6,11.5,98.0,0.6,7.4,2.2,41.9,1,,
14,New Zealand,0.931,82.3,18.8,12.8,40799,18,14,0.41,0.917,1.8,0.909,16.4,0.759,0.964,31233,9,19.3,40.8,64.8,4.8,86.6,0.3,3.1,0.8,38.0,1,,
16,Canada,0.929,82.4,16.2,13.4,48527,5,14,0.31,0.916,2.7,0.870,18.1,0.766,0.986,39459,10,8.4,33.2,60.8,37.4,81.5,2.0,24.9,6.6,41.1,1,,
17,United States,0.926,78.9,16.3,13.4,63826,-7,17,0.24,0.848,2.8,0.875,27.1,0.711,0.994,50590,19,19.9,23.7,56.1,329.1,82.5,19.6,214.7,53.3,38.3,1,,
18,Austria,0.922,81.5,16.1,12.5,56197,-3,18,0.48,0.912,2.9,0.840,14.1,0.821,0.964,39386,5,7.3,38.5,55.1,9.0,58.5,0.4,6.0,1.7,43.5,1,,
19,Israel,0.919,83.0,16.2,13.0,40187,14,21,0.48,0.937,5.7,0.833,23.7,0.691,0.973,29665,3,9.6,23.3,59.7,8.5,92.5,0.8,5.1,1.0,30.5,1,,
19,Japan,0.919,84.6,15.2,12.9,42932,9,20,0.40,0.965,4.7,0.812,16.7,0.763,0.978,30584,5,3.8,14.5,52.7,126.9,91.7,4.9,75.4,35.5,48.4,1,,
19,Liechtenstein,0.919,80.7,14.9,12.5,131032,-18,19,..,..,..,..,..,..,..,..,..,..,12.0,..,0.0,14.4,..,..,..,..,1,,
22,Slovenia,0.917,81.3,17.6,12.7,38080,15,24,0.59,0.916,2.1,0.891,8.7,0.820,1.001,33885,7,3.8,22.3,53.4,2.1,54.8,0.1,1.3,0.4,44.5,1,,
23,Korea (Republic of),0.916,83.0,16.5,12.2,43044,4,22,0.78,0.941,8.8,0.789,20.2,0.731,0.936,27734,11,1.4,16.7,52.9,51.2,81.4,2.0,37.0,7.7,43.7,1,,
23,Luxembourg,0.916,82.3,14.3,12.3,72712,-19,23,0.48,0.925,6.3,0.756,19.0,0.806,0.976,58642,5,4.7,25.0,54.9,0.6,91.2,0.0,0.4,0.1,39.7,1,,
25,Spain,0.904,83.6,17.6,10.3,40975,6,25,0.60,0.949,16.9,0.691,19.5,0.732,0.986,32881,4,7.7,41.9,51.9,46.7,80.6,2.0,30.7,9.2,44.9,1,,
26,France,0.901,82.7,15.6,11.5,47173,-1,26,0.47,0.927,9.5,0.740,13.5,0.804,0.987,39478,8,4.7,36.9,50.8,65.1,80.7,3.7,40.3,13.3,42.3,1,,
27,Czechia,0.900,79.4,16.8,12.7,38109,9,26,0.69,0.886,1.4,0.878,8.9,0.818,0.985,29480,3,12.0,20.6,52.9,10.7,73.9,0.6,6.9,2.1,43.2,1,,
28,Malta,0.895,82.5,16.1,11.3,39555,6,28,0.60,0.918,6.2,0.774,13.0,0.786,0.966,29368,6,12.9,14.9,46.0,0.4,94.7,0.0,0.3,0.1,42.6,1,,
29,Estonia,0.892,78.8,16.0,13.1,36019,9,30,0.67,0.871,2.3,0.862,14.8,0.758,1.017,27086,9,7.7,29.7,57.1,1.3,69.1,0.1,0.8,0.3,42.4,1,,
29,Italy,0.892,83.5,16.1,10.4,42776,0,29,0.48,0.947,10.6,0.709,21.8,0.716,0.968,31639,2,5.2,35.3,40.8,60.6,70.7,2.4,38.6,13.9,47.3,1,,
31,United Arab Emirates,0.890,78.0,14.3,12.1,67462,-24,30,0.72,0.845,18.2,0.656,..,..,0.931,28578,3,6.5,50.0,52.4,9.8,86.8,0.5,8.2,0.1,32.6,1,,
32,Greece,0.888,82.2,17.9,10.6,30155,14,33,0.53,0.924,11.1,0.755,17.8,0.709,0.963,24062,3,7.2,20.7,44.2,10.5,79.4,0.4,6.7,2.3,45.6,1,,
33,Cyprus,0.887,81.0,15.2,12.2,38207,2,32,0.65,0.904,10.5,0.740,13.2,0.779,0.979,31881,6,4.6,17.9,57.8,1.2,66.8,0.1,0.8,0.2,37.3,1,,
34,Lithuania,0.882,75.9,16.6,13.1,35799,5,35,0.62,0.813,3.9,0.863,20.6,0.706,1.030,30987,8,10.9,21.3,56.5,2.8,67.9,0.1,1.8,0.6,45.1,1,,
35,Poland,0.880,78.7,16.3,12.5,31623,8,34,0.70,0.865,4.9,0.826,13.5,0.752,1.007,24827,2,10.5,27.9,48.6,37.9,60.0,1.9,25.3,6.9,41.7,1,,
36,Andorra,0.868,81.9,13.3,10.5,56000,-20,36,..,..,10.0,0.648,..,..,..,..,..,..,46.4,..,0.1,88.0,..,..,..,..,1,,
37,Latvia,0.866,75.3,16.2,13.0,30282,8,37,0.68,0.805,2.5,0.861,19.6,0.694,1.036,25758,19,16.2,30.0,55.7,1.9,68.2,0.1,1.2,0.4,43.9,1,,
38,Portugal,0.864,82.1,16.5,9.3,33967,2,38,0.64,0.921,15.0,0.653,16.9,0.731,0.988,28937,8,8.4,38.7,54.2,10.2,65.8,0.4,6.6,2.3,46.2,1,,
39,Slovakia,0.860,77.5,14.5,12.7,32113,3,39,0.51,0.841,1.6,0.813,11.7,0.770,0.992,24618,5,25.7,20.0,52.2,5.5,53.7,0.3,3.7,0.9,41.2,1,,
